airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
avignon_000011,Avignon,Hébergement entier - Avignon proche monuments,43.869575,4.904997,129,4.45,21,4.5,4.49,4.59,4.53,4.72,4.36,4.11,95,quelques heures,84,Logement entier,3,1,2.6,6,Host_56470,2014,False,False,https://www.airbnb.fr/rooms/avignon_000011,detailed_ratings,2023-12-13,26,26,29,6,292
avignon_000012,Avignon,Hébergement chez l'habitant - Avignon proche commerces,44.005048,4.747263,128,4.43,120,4.4,4.6,4.63,4.24,4.51,4.41,4.33,99,moins de 12 heures,100,Chambre privée,1,4,2.6,6,Host_94461,2019,True,True,https://www.airbnb.fr/rooms/avignon_000012,detailed_ratings,2022-04-16,2,27,65,6,173
avignon_000013,Avignon,Calme chambre à Avignon,43.89643,4.859036,119,4.43,30,4.4,4.55,4.45,4.23,4.83,4.44,4.23,85,moins d une heure,96,Chambre partagée,4,2,1.9,4,Host_4088,2017,False,False,https://www.airbnb.fr/rooms/avignon_000013,detailed_ratings,2024-10-24,0,15,86,4,225
avignon_000014,Avignon,Hébergement entier - Avignon centre-ville,44.032599,4.8715,54,4.65,16,4.6,4.73,4.58,4.36,4.77,4.6,4.62,93,quelques heures,85,Logement entier,3,4,2.6,9,Host_70133,2020,True,True,https://www.airbnb.fr/rooms/avignon_000014,detailed_ratings,2024-02-24,15,43,33,6,361
avignon_000015,Avignon,Cosy maison centre-ville,43.853355,4.859018,111,4.45,58,4.5,4.49,4.72,4.28,4.84,4.7,4.41,91,moins de 12 heures,89,Logement entier,5,4,2.4,5,Host_66327,2021,True,True,https://www.airbnb.fr/rooms/avignon_000015,detailed_ratings,2022-12-20,3,12,78,5,343
avignon_000016,Avignon,Hébergement chez l'habitant - Avignon zone calme,43.96889,4.820408,141,4.6,207,4.6,4.55,4.81,4.32,4.64,4.83,4.34,94,moins d une heure,91,Chambre privée,1,2,2.7,3,Host_58979,2014,False,True,https://www.airbnb.fr/rooms/avignon_000016,detailed_ratings,2023-03-07,0,17,1,1,94
avignon_000017,Avignon,Chambre confortable proche proche gare Avignon,43.860635,4.827353,42,4.63,89,4.6,4.71,4.77,4.64,4.67,4.88,4.63,99,moins d une heure,90,Chambre privée,2,1,2.6,5,Host_63200,2013,False,True,https://www.airbnb.fr/rooms/avignon_000017,detailed_ratings,2024-05-02,10,35,26,3,98
avignon_000018,Avignon,Chambre confortable proche proche monuments Avignon,44.036922,4.724255,118,4.53,232,4.5,4.47,4.54,4.73,4.63,4.45,4.54,98,moins de 12 heures,80,Chambre privée,1,6,1.1,6,Host_89452,2021,False,True,https://www.airbnb.fr/rooms/avignon_000018,detailed_ratings,2022-12-06,7,1,82,4,196
avignon_000019,Avignon,Hébergement entier - Avignon zone calme,43.890596,4.84173,89,4.46,123,4.5,4.45,4.37,4.62,4.67,4.49,4.07,100,moins d une heure,95,Logement entier,2,4,2.0,8,Host_5423,2014,False,True,https://www.airbnb.fr/rooms/avignon_000019,detailed_ratings,2023-08-27,7,50,20,7,175
avignon_000020,Avignon,Superbe duplex à Avignon,44.004181,4.811156,35,4.56,256,4.6,4.61,4.57,4.67,4.71,4.77,4.21,87,moins de 12 heures,81,Logement entier,4,5,1.8,6,Host_7961,2023,False,True,https://www.airbnb.fr/rooms/avignon_000020,detailed_ratings,2022-01-25,8,31,29,5,176
avignon_000021,Avignon,Maison entier au cœur de Avignon,43.990748,4.722912,143,4.56,268,4.6,4.6,4.75,4.34,4.88,4.82,4.42,97,quelques heures,81,Logement entier,1,5,2.2,5,Host_39191,2012,False,True,https://www.airbnb.fr/rooms/avignon_000021,detailed_ratings,2023-10-18,12,6,87,4,162
avignon_000022,Avignon,Spacieux appartement à Avignon,43.983886,4.824311,33,4.53,207,4.5,4.61,4.8,4.71,4.68,4.65,4.41,98,quelques heures,99,Logement entier,1,2,1.6,10,Host_41776,2018,False,True,https://www.airbnb.fr/rooms/avignon_000022,detailed_ratings,2022-09-01,1,39,24,7,192
avignon_000023,Avignon,Hébergement chez l'habitant - Avignon proche monuments,44.015823,4.836398,141,4.69,212,4.7,4.7,4.62,4.61,5.0,4.69,4.79,88,moins de 12 heures,89,Chambre privée,3,1,2.1,2,Host_71054,2020,False,True,https://www.airbnb.fr/rooms/avignon_000023,detailed_ratings,2024-03-23,30,18,2,5,266
avignon_000024,Avignon,Chambre confortable proche quartier animé Avignon,43.966847,4.800268,120,4.53,142,4.5,4.52,4.52,4.7,4.93,4.71,4.56,96,moins de 12 heures,95,Chambre privée,4,4,1.9,5,Host_77103,2022,False,True,https://www.airbnb.fr/rooms/avignon_000024,detailed_ratings,2024-02-17,4,5,25,4,121
avignon_000025,Avignon,Lumineux chambre à Avignon,43.946144,4.781712,110,4.61,277,4.6,4.7,4.71,4.65,4.92,4.6,4.47,96,moins d une heure,98,Chambre privée,3,4,2.0,7,Host_64821,2020,False,True,https://www.airbnb.fr/rooms/avignon_000025,detailed_ratings,2022-10-15,28,49,13,5,343
avignon_000026,Avignon,Superbe chambre à Avignon,43.974874,4.715908,154,4.74,16,4.7,4.94,4.94,4.65,4.84,4.69,4.83,86,quelques heures,87,Chambre privée,1,1,2.9,7,Host_90576,2022,False,True,https://www.airbnb.fr/rooms/avignon_000026,detailed_ratings,2024-04-21,20,44,88,6,234
avignon_000027,Avignon,Authentique chambre à Avignon,43.899154,4.710901,126,4.47,14,4.5,4.56,4.68,4.41,4.5,4.59,4.19,93,moins de 12 heures,80,Chambre privée,1,1,2.1,8,Host_73181,2019,False,True,https://www.airbnb.fr/rooms/avignon_000027,detailed_ratings,2024-06-03,28,34,76,6,222
avignon_000028,Avignon,Moderne studio à Avignon,44.027554,4.71158,73,4.41,199,4.4,4.5,4.31,4.51,4.41,4.63,4.18,86,moins d une heure,87,Logement entier,4,4,1.4,8,Host_83538,2019,True,True,https://www.airbnb.fr/rooms/avignon_000028,detailed_ratings,2023-03-22,15,60,63,4,341
avignon_000029,Avignon,Lumineux maison à Avignon,43.978614,4.768082,122,4.4,191,4.4,4.46,4.65,4.56,4.65,4.33,4.3,100,quelques heures,87,Logement entier,5,2,2.7,10,Host_57412,2020,False,True,https://www.airbnb.fr/rooms/avignon_000029,detailed_ratings,2024-04-05,19,33,15,5,285
avignon_000030,Avignon,Chambre confortable proche quartier animé Avignon,43.933356,4.902126,158,4.46,40,4.5,4.53,4.44,4.28,4.75,4.76,4.42,94,quelques heures,96,Chambre privée,4,4,1.1,8,Host_29530,2017,False,True,https://www.airbnb.fr/rooms/avignon_000030,detailed_ratings,2022-01-11,0,26,69,7,254
avignon_000031,Avignon,Loft entier au cœur de Avignon,43.862393,4.901161,71,4.44,153,4.4,4.61,4.49,4.26,4.71,4.64,4.25,89,moins de 12 heures,83,Logement entier,4,5,1.9,5,Host_99128,2014,False,True,https://www.airbnb.fr/rooms/avignon_000031,detailed_ratings,2024-11-08,22,42,85,1,324
avignon_000032,Avignon,Spacieux chambre à Avignon,44.029782,4.897149,71,4.48,225,4.5,4.58,4.41,4.2,4.74,4.49,4.11,91,moins d une heure,90,Chambre privée,3,1,1.5,5,Host_36848,2013,True,False,https://www.airbnb.fr/rooms/avignon_000032,detailed_ratings,2023-05-20,7,55,34,7,230
avignon_000033,Avignon,Typique studio à Avignon,43.869914,4.901847,96,4.52,131,4.5,4.61,4.57,4.31,4.86,4.67,4.38,93,moins d une heure,89,Logement entier,1,2,1.4,6,Host_98860,2021,True,True,https://www.airbnb.fr/rooms/avignon_000033,detailed_ratings,2023-10-05,15,2,85,5,352
avignon_000034,Avignon,Superbe appartement quartier historique,43.898758,4.707127,150,4.58,81,4.6,4.77,4.78,4.42,4.83,4.76,4.43,95,quelques heures,84,Logement entier,2,1,1.7,8,Host_16921,2021,False,True,https://www.airbnb.fr/rooms/avignon_000034,detailed_ratings,2024-02-02,30,6,83,2,279
avignon_000035,Avignon,Hébergement chez l'habitant - Avignon zone calme,43.927026,4.903243,72,4.46,286,4.5,4.48,4.58,4.47,4.86,4.57,4.28,91,moins d une heure,95,Chambre privée,3,2,2.7,8,Host_6467,2023,False,True,https://www.airbnb.fr/rooms/avignon_000035,detailed_ratings,2024-03-28,28,48,89,2,96
avignon_000036,Avignon,Charmant maison à Avignon,44.033824,4.755148,153,4.5,21,4.5,4.46,4.49,4.2,4.7,4.55,4.59,98,quelques heures,95,Logement entier,1,2,2.4,7,Host_1014,2023,True,True,https://www.airbnb.fr/rooms/avignon_000036,detailed_ratings,2022-10-06,1,38,39,2,244
avignon_000037,Avignon,Studio entier au cœur de Avignon,43.883138,4.812006,136,4.57,249,4.6,4.64,4.53,4.38,4.73,4.53,4.54,88,quelques heures,84,Logement entier,3,5,2.8,8,Host_33436,2014,True,True,https://www.airbnb.fr/rooms/avignon_000037,detailed_ratings,2023-08-06,23,7,32,4,54
avignon_000038,Avignon,Lumineux duplex proche monuments,43.894783,4.71757,111,4.62,58,4.6,4.74,4.78,4.35,4.78,4.8,4.22,90,moins d une heure,98,Logement entier,4,6,1.5,10,Host_24382,2020,True,True,https://www.airbnb.fr/rooms/avignon_000038,detailed_ratings,2022-01-10,24,57,17,6,92
avignon_000039,Avignon,Loft entier au cœur de Avignon,44.017516,4.81146,149,4.45,89,4.4,4.65,4.73,4.39,4.83,4.41,4.17,90,quelques heures,85,Logement entier,4,1,1.3,6,Host_23823,2017,False,False,https://www.airbnb.fr/rooms/avignon_000039,detailed_ratings,2023-09-19,0,41,10,5,160
avignon_000040,Avignon,Pied-à-terre entier au cœur de Avignon,44.013656,4.827368,72,4.35,122,4.4,4.32,4.64,4.31,4.52,4.63,4.26,88,moins d une heure,99,Logement entier,1,5,2.9,2,Host_82267,2017,False,True,https://www.airbnb.fr/rooms/avignon_000040,detailed_ratings,2022-12-25,19,23,31,1,233
avignon_000041,Avignon,Studio entier au cœur de Avignon,43.924221,4.902706,32,4.62,248,4.6,4.82,4.7,4.78,4.78,4.56,4.3,93,moins de 12 heures,94,Logement entier,1,4,2.8,9,Host_17430,2012,False,True,https://www.airbnb.fr/rooms/avignon_000041,detailed_ratings,2022-03-14,29,5,76,5,247
avignon_000042,Avignon,Hébergement chez l'habitant - Avignon centre-ville,43.937068,4.833201,87,4.41,169,4.4,4.4,4.42,4.51,4.42,4.55,4.38,87,quelques heures,99,Chambre privée,3,2,2.5,9,Host_88520,2012,False,False,https://www.airbnb.fr/rooms/avignon_000042,detailed_ratings,2024-08-21,24,37,47,7,175
avignon_000043,Avignon,Chambre confortable proche quartier animé Avignon,43.913975,4.804041,100,4.67,76,4.7,4.86,4.58,4.71,5.0,4.75,4.36,94,moins d une heure,99,Chambre privée,4,5,1.7,5,Host_90289,2020,False,True,https://www.airbnb.fr/rooms/avignon_000043,detailed_ratings,2024-03-20,8,51,20,1,43
avignon_000044,Avignon,Authentique loft quartier historique,43.890052,4.850736,120,4.36,117,4.4,4.45,4.33,4.09,4.53,4.61,4.05,89,moins d une heure,82,Logement entier,2,6,1.2,5,Host_41743,2015,False,True,https://www.airbnb.fr/rooms/avignon_000044,detailed_ratings,2022-08-16,28,54,17,7,306
avignon_000045,Avignon,Hébergement entier - Avignon proche monuments,43.990114,4.904309,79,4.44,202,4.4,4.49,4.46,4.18,4.66,4.49,4.2,93,quelques heures,94,Logement entier,2,5,1.6,3,Host_76304,2021,True,True,https://www.airbnb.fr/rooms/avignon_000045,detailed_ratings,2023-11-21,24,34,6,5,93
avignon_000046,Avignon,Moderne maison à Avignon,43.966797,4.854121,65,4.44,240,4.4,4.58,4.41,4.17,4.81,4.37,4.05,90,quelques heures,97,Logement entier,2,2,2.7,7,Host_45981,2015,False,False,https://www.airbnb.fr/rooms/avignon_000046,detailed_ratings,2022-03-21,21,2,79,7,335
avignon_000047,Avignon,Spacieux appartement à Avignon,43.93917,4.735273,88,4.56,148,4.6,4.65,4.78,4.36,4.56,4.66,4.33,90,moins de 12 heures,94,Logement entier,4,6,1.1,9,Host_18950,2017,False,True,https://www.airbnb.fr/rooms/avignon_000047,detailed_ratings,2022-07-24,11,7,23,4,307
avignon_000048,Avignon,Chambre confortable proche proche monuments Avignon,43.983301,4.79992,115,4.36,84,4.4,4.49,4.42,4.21,4.73,4.28,4.43,87,quelques heures,97,Chambre privée,2,5,2.4,7,Host_89013,2016,True,True,https://www.airbnb.fr/rooms/avignon_000048,detailed_ratings,2024-06-08,12,10,33,2,296
avignon_000049,Avignon,Chambre confortable proche quartier animé Avignon,43.950909,4.818887,32,4.47,72,4.5,4.55,4.74,4.49,4.69,4.62,4.37,90,moins de 12 heures,95,Chambre privée,4,5,1.9,10,Host_49598,2023,False,True,https://www.airbnb.fr/rooms/avignon_000049,detailed_ratings,2024-11-03,0,48,23,7,145
avignon_000050,Avignon,Typique pied-à-terre à Avignon,43.975657,4.827985,88,4.62,96,4.6,4.75,4.79,4.65,4.63,4.9,4.32,90,moins d une heure,98,Logement entier,3,4,1.1,10,Host_20434,2012,False,True,https://www.airbnb.fr/rooms/avignon_000050,detailed_ratings,2022-04-03,28,47,23,5,220
avignon_000051,Avignon,Loft entier au cœur de Avignon,43.886825,4.804443,94,4.6,128,4.6,4.52,4.72,4.44,5.0,4.85,4.57,99,moins d une heure,92,Logement entier,5,2,2.6,8,Host_24808,2017,True,False,https://www.airbnb.fr/rooms/avignon_000051,detailed_ratings,2024-12-16,14,56,74,7,122
avignon_000052,Avignon,Moderne studio à Avignon,44.021775,4.765488,63,4.54,162,4.5,4.67,4.79,4.53,4.71,4.58,4.29,97,moins de 12 heures,96,Logement entier,5,6,1.5,8,Host_59253,2018,False,True,https://www.airbnb.fr/rooms/avignon_000052,detailed_ratings,2022-08-10,19,20,31,3,54
avignon_000053,Avignon,Pied-à-terre entier au cœur de Avignon,44.008153,4.742208,158,4.37,229,4.4,4.44,4.49,4.31,4.66,4.45,4.22,95,moins d une heure,93,Logement entier,3,2,2.6,3,Host_76539,2021,False,True,https://www.airbnb.fr/rooms/avignon_000053,detailed_ratings,2022-02-01,29,29,32,3,238
avignon_000054,Avignon,Lumineux maison à Avignon,44.018021,4.724357,134,4.52,295,4.5,4.5,4.5,4.3,4.77,4.64,4.2,95,quelques heures,89,Logement entier,1,1,2.1,10,Host_32681,2014,False,True,https://www.airbnb.fr/rooms/avignon_000054,detailed_ratings,2023-03-06,8,57,16,6,159
avignon_000055,Avignon,Loft entier au cœur de Avignon,44.027486,4.733635,119,4.67,96,4.7,4.82,4.86,4.48,4.91,4.78,4.48,97,moins d une heure,99,Logement entier,3,5,1.7,10,Host_60242,2012,False,True,https://www.airbnb.fr/rooms/avignon_000055,detailed_ratings,2022-05-19,17,58,11,4,296
avignon_000056,Avignon,Superbe duplex centre-ville,43.918394,4.811751,130,4.67,180,4.7,4.76,4.9,4.8,4.94,4.87,4.37,91,quelques heures,95,Logement entier,1,4,2.9,3,Host_55532,2016,False,True,https://www.airbnb.fr/rooms/avignon_000056,detailed_ratings,2024-12-06,4,23,20,4,304
avignon_000057,Avignon,Hébergement chez l'habitant - Avignon proche monuments,43.870589,4.778698,116,4.45,150,4.5,4.52,4.71,4.47,4.67,4.73,4.35,92,moins d une heure,88,Chambre privée,3,6,1.4,6,Host_58143,2019,False,False,https://www.airbnb.fr/rooms/avignon_000057,detailed_ratings,2023-12-16,20,60,5,2,233
avignon_000058,Avignon,Chambre confortable proche proche gare Avignon,43.97722,4.712122,143,4.45,55,4.4,4.41,4.68,4.46,4.61,4.57,4.33,85,moins d une heure,86,Chambre privée,2,4,1.5,3,Host_15191,2014,False,True,https://www.airbnb.fr/rooms/avignon_000058,detailed_ratings,2024-07-03,16,29,25,3,194
avignon_000059,Avignon,Loft entier au cœur de Avignon,43.986685,4.773517,82,4.64,50,4.6,4.55,4.9,4.78,4.85,4.91,4.4,87,moins de 12 heures,95,Logement entier,5,6,1.2,4,Host_12772,2016,False,True,https://www.airbnb.fr/rooms/avignon_000059,detailed_ratings,2024-01-12,0,24,11,2,280
avignon_000060,Avignon,Studio entier au cœur de Avignon,43.963877,4.903203,97,4.37,201,4.4,4.31,4.44,4.34,4.5,4.53,4.04,100,moins de 12 heures,93,Logement entier,4,1,1.6,5,Host_36949,2015,False,False,https://www.airbnb.fr/rooms/avignon_000060,detailed_ratings,2024-03-21,11,49,39,7,344
avignon_000061,Avignon,Spacieux chambre à Avignon,43.903852,4.86592,74,4.45,258,4.4,4.47,4.48,4.31,4.65,4.51,4.22,99,quelques heures,95,Chambre privée,3,3,2.5,9,Host_29574,2018,False,True,https://www.airbnb.fr/rooms/avignon_000061,detailed_ratings,2022-07-11,27,59,32,1,343
avignon_000062,Avignon,Magnifique pied-à-terre à Avignon,43.919967,4.728945,32,4.69,222,4.7,4.77,4.77,4.74,5.0,4.91,4.57,96,moins d une heure,80,Logement entier,5,1,2.9,5,Host_31228,2012,False,True,https://www.airbnb.fr/rooms/avignon_000062,detailed_ratings,2024-04-09,10,34,17,4,107
avignon_000063,Avignon,Hébergement entier - Avignon quartier historique,43.955126,4.77536,60,4.36,284,4.4,4.49,4.61,4.06,4.37,4.61,4.16,97,moins de 12 heures,98,Logement entier,4,1,2.2,3,Host_99462,2015,True,True,https://www.airbnb.fr/rooms/avignon_000063,detailed_ratings,2024-04-16,21,29,71,1,108
avignon_000064,Avignon,Hébergement entier - Avignon proche commerces,43.935146,4.753304,103,4.56,4,4.6,4.74,4.72,4.74,4.85,4.6,4.21,88,moins d une heure,84,Logement entier,5,1,2.1,9,Host_25048,2018,False,True,https://www.airbnb.fr/rooms/avignon_000064,detailed_ratings,2023-10-20,23,1,27,1,319
avignon_000065,Avignon,Lumineux chambre à Avignon,43.9215,4.83648,72,4.74,61,4.7,4.76,4.97,4.46,5.0,4.71,4.58,89,moins de 12 heures,96,Chambre privée,4,4,1.4,8,Host_43754,2013,False,True,https://www.airbnb.fr/rooms/avignon_000065,detailed_ratings,2023-05-26,28,5,24,5,78
avignon_000066,Avignon,Hébergement chez l'habitant - Avignon proche gare,44.036932,4.88261,112,4.45,284,4.5,4.55,4.6,4.63,4.79,4.38,4.08,92,moins d une heure,91,Chambre privée,3,6,2.8,9,Host_21296,2019,False,True,https://www.airbnb.fr/rooms/avignon_000066,detailed_ratings,2023-12-23,4,4,82,6,204
avignon_000067,Avignon,Cosy chambre à Avignon,43.868774,4.856179,78,4.47,189,4.5,4.41,4.44,4.32,4.57,4.41,4.27,86,moins de 12 heures,87,Chambre partagée,2,2,1.8,9,Host_80270,2022,True,True,https://www.airbnb.fr/rooms/avignon_000067,detailed_ratings,2023-12-07,22,40,17,4,172
avignon_000068,Avignon,Chambre confortable proche quartier animé Avignon,44.030531,4.84761,124,4.47,140,4.5,4.56,4.63,4.62,4.76,4.41,4.2,100,moins de 12 heures,84,Chambre privée,3,5,2.9,10,Host_68461,2014,False,True,https://www.airbnb.fr/rooms/avignon_000068,detailed_ratings,2024-12-21,14,7,39,5,319
avignon_000069,Avignon,Hébergement chez l'habitant - Avignon proche monuments,44.044162,4.833597,124,4.73,210,4.7,4.83,4.88,4.64,5.0,5.0,4.74,86,quelques heures,86,Chambre privée,5,2,2.9,9,Host_60895,2016,False,False,https://www.airbnb.fr/rooms/avignon_000069,detailed_ratings,2022-05-13,25,42,34,6,350
avignon_000070,Avignon,Typique maison à Avignon,43.924334,4.898676,122,4.44,28,4.4,4.49,4.42,4.44,4.46,4.51,4.33,86,moins d une heure,85,Logement entier,3,3,2.1,3,Host_69385,2020,True,True,https://www.airbnb.fr/rooms/avignon_000070,detailed_ratings,2022-04-21,18,18,67,6,241
avignon_000071,Avignon,Hébergement entier - Avignon proche monuments,43.941366,4.861815,73,4.45,135,4.5,4.54,4.54,4.32,4.59,4.37,4.44,90,quelques heures,97,Logement entier,4,2,2.7,5,Host_67586,2023,True,True,https://www.airbnb.fr/rooms/avignon_000071,detailed_ratings,2023-12-16,17,50,56,4,325
avignon_000072,Avignon,Chambre confortable proche quartier historique Avignon,44.006615,4.880668,50,4.46,230,4.5,4.49,4.43,4.51,4.73,4.4,4.17,100,quelques heures,80,Chambre privée,2,5,3.0,5,Host_91279,2016,True,False,https://www.airbnb.fr/rooms/avignon_000072,detailed_ratings,2024-10-11,22,39,8,4,154
avignon_000073,Avignon,Chambre confortable proche quartier animé Avignon,44.030456,4.846667,147,4.7,206,4.7,4.84,4.97,4.43,4.96,4.98,4.61,99,quelques heures,91,Chambre privée,4,3,2.4,10,Host_86452,2013,True,True,https://www.airbnb.fr/rooms/avignon_000073,detailed_ratings,2022-10-19,7,53,35,4,222
avignon_000074,Avignon,Maison entier au cœur de Avignon,43.877284,4.878163,115,4.36,223,4.4,4.51,4.63,4.11,4.66,4.56,4.27,90,moins de 12 heures,88,Logement entier,3,2,1.9,10,Host_77441,2020,False,False,https://www.airbnb.fr/rooms/avignon_000074,detailed_ratings,2023-06-20,1,19,86,7,364
avignon_000075,Avignon,Chambre confortable proche quartier historique Avignon,44.036536,4.726925,127,4.65,143,4.6,4.55,4.77,4.48,4.86,4.64,4.45,90,quelques heures,86,Chambre privée,1,2,1.1,10,Host_68354,2023,False,True,https://www.airbnb.fr/rooms/avignon_000075,detailed_ratings,2024-02-13,28,10,52,1,290
avignon_000076,Avignon,Typique studio à Avignon,43.97815,4.854927,141,4.56,298,4.6,4.67,4.58,4.52,4.77,4.66,4.63,93,moins d une heure,83,Logement entier,5,1,1.4,3,Host_53125,2015,False,True,https://www.airbnb.fr/rooms/avignon_000076,detailed_ratings,2022-06-17,3,34,81,7,103
avignon_000077,Avignon,Cosy duplex à Avignon,43.936724,4.821431,128,4.47,76,4.5,4.4,4.38,4.47,4.56,4.72,4.36,93,moins d une heure,85,Logement entier,4,3,1.8,4,Host_76793,2019,True,True,https://www.airbnb.fr/rooms/avignon_000077,detailed_ratings,2023-11-07,12,34,75,7,192
avignon_000078,Avignon,Hébergement chez l'habitant - Avignon proche monuments,43.992711,4.720685,95,4.73,231,4.7,4.88,4.9,4.51,4.9,4.82,4.82,86,moins d une heure,89,Chambre privée,3,3,1.4,10,Host_54413,2015,False,True,https://www.airbnb.fr/rooms/avignon_000078,detailed_ratings,2022-06-02,25,5,22,1,320
avignon_000079,Avignon,Hébergement chez l'habitant - Avignon centre-ville,43.982229,4.892578,116,4.45,162,4.4,4.42,4.38,4.55,4.51,4.74,4.07,92,moins de 12 heures,83,Chambre privée,3,4,2.3,7,Host_79999,2022,False,True,https://www.airbnb.fr/rooms/avignon_000079,detailed_ratings,2022-02-25,4,33,36,3,360
avignon_000080,Avignon,Calme maison à Avignon,43.875451,4.71146,102,4.4,86,4.4,4.35,4.61,4.4,4.63,4.49,4.05,96,moins de 12 heures,82,Logement entier,5,2,1.3,10,Host_32881,2022,False,False,https://www.airbnb.fr/rooms/avignon_000080,detailed_ratings,2022-05-26,5,32,90,5,200
avignon_000081,Avignon,Duplex entier au cœur de Avignon,44.047493,4.900662,49,4.51,257,4.5,4.42,4.52,4.26,4.75,4.68,4.2,100,moins d une heure,80,Logement entier,1,5,1.1,4,Host_93141,2017,True,True,https://www.airbnb.fr/rooms/avignon_000081,detailed_ratings,2022-09-23,19,8,10,3,49
avignon_000082,Avignon,Hébergement chez l'habitant - Avignon quartier animé,43.980298,4.826888,36,4.37,163,4.4,4.27,4.47,4.54,4.6,4.56,4.09,85,moins d une heure,95,Chambre partagée,4,6,1.1,6,Host_43482,2018,False,False,https://www.airbnb.fr/rooms/avignon_000082,detailed_ratings,2022-11-10,9,13,44,5,301
avignon_000083,Avignon,Hébergement chez l'habitant - Avignon centre-ville,43.903734,4.768746,69,4.45,215,4.5,4.59,4.44,4.41,4.61,4.62,4.5,88,quelques heures,92,Chambre privée,3,6,1.4,10,Host_71038,2013,False,False,https://www.airbnb.fr/rooms/avignon_000083,detailed_ratings,2023-01-14,1,34,22,7,66
